Menmonique;paramètres;;;;opcode;;;;extension
FCMOVNB;ST;STi;;;;;DB;;0
FISTTP;m32int;ST;;;;;DB;;1
FCMOVNE;ST;STi;;;;;DB;;1
FIST;m32int;ST;;;;;DB;;2
FCMOVNBE;ST;STi;;;;;DB;;2
FISTP;m32int;ST;;;;;DB;;3
FCMOVNU;ST;STi;;;;;DB;;3
FNENI nop;;;;;;;DB;E0;4
FNDISI nop;;;;;;;DB;E1;4
FNCLEX;;;;;;;DB;E2;4
FCLEX;;;;;;9B;DB;E2;4
FNINIT;;;;;;;DB;E3;4
FINIT;;;;;;9B;DB;E3;4
FNSETPMnop;;;;;;;DB;E4;4
FLD;ST;m80real;;;;;DB;;5
FUCOMI;ST;STi;;;;;DB;;5
FCOMI;ST;STi;;;;;DB;;6
FSTP;m80real;ST;;;;;DB;;7
FADD;ST;m64real;;;;;DC;;0
FADD;STi;ST;;;;;DC;;0
FMUL;ST;m64real;;;;;DC;;1
FMUL;STi;ST;;;;;DC;;1
FCOM;ST;m64real;;;;;DC;;2
FCOM2;ST;STi;;;;;DC;;2
FCOMP;ST;m64real;;;;;DC;;3
FCOMP3;ST;STi;;;;;DC;;3
FSUB;ST;m64real;;;;;DC;;4
FSUBR;STi;ST;;;;;DC;;4
FSUBR;ST;m64real;;;;;DC;;5
FSUB;STi;ST;;;;;DC;;5
FDIV;ST;m64real;;;;;DC;;6
FDIVR;STi;ST;;;;;DC;;6
FDIVR;ST;m64real;;;;;DC;;7
FDIV;STi;ST;;;;;DC;;7
FLD;ST;m64real;;;;;DD;;0
FFREE;STi;;;;;;DD;;0
FISTTP;m64int;ST;;;;;DD;;1
FXCH4;ST;STi;;;;;DD;;1
FST;m64real;ST;;;;;DD;;2
FST;ST;STi;;;;;DD;;2
FSTP;m64real;ST;;;;;DD;;3
FSTP;ST;STi;;;;;DD;;3
FRSTOR;ST;ST1;ST2;...;;;DD;;4
FUCOM;ST;STi;;;;;DD;;4
FUCOM;ST;ST1;;;;;DD;E1;4
FUCOMP;ST;STi;;;;;DD;;5
FUCOMP;ST;ST1;;;;;DD;E9;5
FNSAVE;m94/108;ST;ST1;...;;;DD;;6
FSAVE;m94/108;ST;ST1;...;;9B;DD;;6
FNSTSW;m16;;;;;;DD;;7
FSTSW;m16;;;;;9B;DD;;7
FIADD;ST;m16int;;;;;DE;;0
FADDP;STi;ST;;;;;DE;;0
FADDP;ST1;ST;;;;;DE;C1;0
FIMUL;ST;m16int;;;;;DE;;1
FMULP;STi;ST;;;;;DE;;1
FMULP;ST1;ST;;;;;DE;C9;1
FICOM;ST;m16int;;;;;DE;;2
FCOMP5;ST;STi;;;;;DE;;2
FICOMP;ST;m16int;;;;;DE;;3
FCOMPP;ST;ST1;;;;;DE;D9;3
FISUB;ST;m16int;;;;;DE;;4
FSUBRP;STi;ST;;;;;DE;;4
FSUBRP;ST1;ST;;;;;DE;E1;4
FISUBR;ST;m16int;;;;;DE;;5
FSUBP;STi;ST;;;;;DE;;5
FSUBP;ST1;ST;;;;;DE;E9;5
FIDIV;ST;m16int;;;;;DE;;6
FDIVRP;STi;ST;;;;;DE;;6
FDIVRP;ST1;ST;;;;;DE;F1;6
FIDIVR;ST;m16int;;;;;DE;;7
FDIVP;STi;ST;;;;;DE;;7
FDIVP;ST1;ST;;;;;DE;F9;7
FILD;ST;m16int;;;;;DF;;0
FFREEP;STi;;;;;;DF;;0
FISTTP;m16int;ST;;;;;DF;;1
FXCH7;ST;STi;;;;;DF;;1
FIST;m16int;ST;;;;;DF;;2
FSTP8;STi;ST;;;;;DF;;2
FISTP;m16int;ST;;;;;DF;;3
FSTP9;STi;ST;;;;;DF;;3
FBLD;ST;m80dec;;;;;DF;;4
FNSTSW;AX;;;;;;DF;E0;4
FSTSW;AX;;;;;9B;DF;E0;4
FILD;ST;m64int;;;;;DF;;5
FUCOMIP;ST;STi;;;;;DF;;5
FBSTP;m80dec;ST;;;;;DF;;6
FCOMIP;ST;STi;;;;;DF;;6
FISTP;m64int;ST;;;;;DF;;7
LOOPNZ;eCX;rel8;;;;;E0;;
LOOPNE;eCX;rel8;;;;;E0;;
LOOPZ;eCX;rel8;;;;;E1;;
LOOPE;eCX;rel8;;;;;E1;;
LOOP;eCX;rel8;;;;;E2;;
JCXZ;rel8;CX;;;;;E3;;
JECXZ;rel8;ECX;;;;;E3;;
IN;AL;imm8;;;;;E4;;
IN;eAX;imm8;;;;;E5;;
OUT;imm8;AL;;;;;E6;;
OUT;imm8;eAX;;;;;E7;;
CALL;rel16/32;;;;;;E8;;
JMP;rel16/32;;;;;;E9;;
JMPF;ptr16:16/32;;;;;;EA;;
JMP;rel8;;;;;;EB;;
IN;AL;DX;;;;;EC;;
IN;eAX;DX;;;;;ED;;
OUT;DX;AL;;;;;EE;;
OUT;DX;eAX;;;;;EF;;
INT1;eFlags;;;;;;F1;;
REPNZ;eCX;;;;;F2;;;
REPNE;eCX;;;;;F2;;;
REP;eCX;;;;;F2;;;
REPZ;eCX;;;;;F3;;;
REPE;eCX;;;;;F3;;;
REP;eCX;;;;;F3;;;
HLT;;;;;;;F4;;
CMC;;;;;;;F5;;
TEST;r/m8;imm8;;;;;F6;;0
TEST;r/m8;imm8;;;;;F6;;1
NOT;r/m8;;;;;;F6;;2
NEG;r/m8;;;;;;F6;;3
MUL;AX;r/m8;;;;;F6;;4
IMUL;AX;r/m8;;;;;F6;;5
DIV;AL;r/m8;;;;;F6;;6
IDIV;AL;r/m8;;;;;F6;;7
TEST;r/m16/32;imm16/32;;;;;F7;;0
TEST;r/m16/32;imm16/32;;;;;F7;;1
NOT;r/m16/32;;;;;;F7;;2
NEG;r/m16/32;;;;;;F7;;3
MUL;eAX;r/m16/32;;;;;F7;;4
MUL;r/m16/32;;;;;;F7;;4
IMUL;eAX;r/m16/32;;;;;F7;;5
IMUL;r/m16/32;;;;;;F7;;5
DIV;EAX;r/m16/32;;;;;F7;;6
IDIV;EAX;r/m16/32;;;;;F7;;7
CLC;;;;;;;F8;;
STC;;;;;;;F9;;
CLI;;;;;;;FA;;
STI;;;;;;;FB;;
CLD;;;;;;;FC;;
STD;;;;;;;FD;;
INC;r/m8;;;;;;FE;;0
DEC;r/m8;;;;;;FE;;1
INC;r/m16/32;;;;;;FF;;0
DEC;r/m16/32;;;;;;FF;;1
CALL;r/m16/32;;;;;;FF;;2
CALLF;m16:16/32;;;;;;FF;;3
JMP;r/m16/32;;;;;;FF;;4
JMPF;m16:16/32;;;;;;FF;;5
PUSH;r/m16/32;;;;;;FF;;6
SLDT;m16;;;;0F;;0;;0
SLDT;r16/32;;;;0F;;0;;0
STR;m16;;;;0F;;0;;1
STR;r16/32;;;;0F;;0;;1
LLDT;LDTR;r/m16;;;0F;;0;;2
LTR;TR;r/m16;;;0F;;0;;3
VERR;r/m16;;;;0F;;0;;4
VERW;r/m16;;;;0F;;0;;5
SGDT;m;GDTR;;;0F;;1;;0
